Epoch: 2140/195, Time  0.378 ( 2.263), Data  0.025 ( 1.896), Loss 8.2763e+00 (8.2252e+00), Acc@1   0.78 (  1.25), Acc@5   3.91 (  4.37)
Epoch: 2150/195, Time  0.352 ( 2.139), Data  0.001 ( 1.772), Loss 8.1710e+00 (8.2238e+00), Acc@1   2.73 (  1.26), Acc@5   7.81 (  4.41)
Epoch: 2160/195, Time  0.354 ( 2.029), Data  0.000 ( 1.663), Loss 8.2322e+00 (8.2196e+00), Acc@1   1.56 (  1.27), Acc@5   4.69 (  4.47)
Epoch: 2170/195, Time  0.361 ( 1.931), Data  0.001 ( 1.566), Loss 8.2375e+00 (8.2189e+00), Acc@1   2.34 (  1.31), Acc@5   5.47 (  4.55)
Epoch: 2180/195, Time  0.342 ( 1.844), Data  0.000 ( 1.480), Loss 8.1108e+00 (8.2151e+00), Acc@1   2.34 (  1.34), Acc@5   6.25 (  4.62)
Epoch: 2190/195, Time  0.354 ( 1.766), Data  0.000 ( 1.402), Loss 8.0532e+00 (8.2127e+00), Acc@1   1.56 (  1.38), Acc@5   5.86 (  4.69)
Epoch: 3  0/195, Time 232.628 (232.628), Data 232.269 (232.269), Loss 8.1859e+00 (8.1859e+00), Acc@1   1.95 (  1.95), Acc@5   3.91 (  3.91)
Epoch: 3 10/195, Time  2.131 (21.962), Data  1.779 (21.595), Loss 8.0819e+00 (8.1236e+00), Acc@1   0.39 (  1.95), Acc@5   5.86 (  6.14)
Epoch: 3 20/195, Time  0.350 (11.685), Data  0.000 (11.312), Loss 8.2928e+00 (8.1320e+00), Acc@1   0.78 (  1.90), Acc@5   2.73 (  5.97)
Epoch: 3 30/195, Time  0.366 ( 8.035), Data  0.000 ( 7.663), Loss 8.0986e+00 (8.1331e+00), Acc@1   1.56 (  1.97), Acc@5   2.73 (  5.91)
Epoch: 3 40/195, Time  0.424 ( 6.279), Data  0.000 ( 5.909), Loss 8.1344e+00 (8.1171e+00), Acc@1   3.12 (  2.20), Acc@5   6.64 (  6.26)
Epoch: 3 50/195, Time  0.357 ( 5.117), Data  0.001 ( 4.751), Loss 8.1594e+00 (8.1145e+00), Acc@1   0.39 (  2.16), Acc@5   5.86 (  6.33)
Epoch: 3 60/195, Time  0.389 ( 4.338), Data  0.000 ( 3.972), Loss 8.1980e+00 (8.1119e+00), Acc@1   3.91 (  2.13), Acc@5   8.59 (  6.47)
Epoch: 3 70/195, Time  0.399 ( 3.780), Data  0.001 ( 3.413), Loss 8.1287e+00 (8.1090e+00), Acc@1   1.95 (  2.23), Acc@5   3.91 (  6.56)
Epoch: 3 80/195, Time  0.425 ( 3.362), Data  0.001 ( 2.992), Loss 8.1298e+00 (8.1030e+00), Acc@1   1.56 (  2.22), Acc@5   7.81 (  6.53)
Epoch: 3 90/195, Time  0.434 ( 3.038), Data  0.000 ( 2.663), Loss 7.9592e+00 (8.0940e+00), Acc@1   2.34 (  2.24), Acc@5   9.77 (  6.67)
Epoch: 3100/195, Time  0.392 ( 2.777), Data  0.001 ( 2.399), Loss 8.1995e+00 (8.0903e+00), Acc@1   1.56 (  2.24), Acc@5   5.86 (  6.78)
Epoch: 3110/195, Time  0.369 ( 2.567), Data  0.000 ( 2.183), Loss 7.8370e+00 (8.0772e+00), Acc@1   3.91 (  2.32), Acc@5   8.59 (  7.06)
Epoch: 3120/195, Time  0.359 ( 2.390), Data  0.000 ( 2.003), Loss 7.9852e+00 (8.0711e+00), Acc@1   4.69 (  2.37), Acc@5  10.16 (  7.15)
Epoch: 3130/195, Time  0.401 ( 2.238), Data  0.000 ( 1.850), Loss 7.9337e+00 (8.0625e+00), Acc@1   5.08 (  2.46), Acc@5   9.77 (  7.30)
Epoch: 3140/195, Time  0.353 ( 2.106), Data  0.000 ( 1.719), Loss 7.8094e+00 (8.0563e+00), Acc@1   1.56 (  2.46), Acc@5   8.20 (  7.37)
Epoch: 3150/195, Time  0.443 ( 1.996), Data  0.087 ( 1.610), Loss 7.9241e+00 (8.0496e+00), Acc@1   4.69 (  2.49), Acc@5  12.50 (  7.52)
Epoch: 3160/195, Time  0.370 ( 1.896), Data  0.000 ( 1.513), Loss 7.9639e+00 (8.0430e+00), Acc@1   2.34 (  2.51), Acc@5   6.25 (  7.58)
Epoch: 3170/195, Time  0.348 ( 1.811), Data  0.001 ( 1.429), Loss 7.8873e+00 (8.0373e+00), Acc@1   4.69 (  2.56), Acc@5  10.16 (  7.67)
Epoch: 3180/195, Time  0.354 ( 1.730), Data  0.000 ( 1.350), Loss 7.9695e+00 (8.0296e+00), Acc@1   1.17 (  2.59), Acc@5   7.03 (  7.77)
